feature,mean_abs_shap,shap_importance_pct
premed_required,0.06267269594136232,17.607716606623125
pharmacist_credential,0.03464746637270088,9.734107650304482
shift_Night,0.0320564164889859,9.006159516259595
stat_order,0.027875076864622938,7.831423978941865
severity_x_occupancy,0.024954056218603773,7.0107714928046505
patient_readiness_score,0.02259610460481748,6.348311658197827
severity,0.02236426372564158,6.28317661913426
pharmacists_on_duty,0.021945672833923572,6.165574692413568
queue_length_at_order_log,0.019881593729910437,5.585677507982253
complex_case,0.012122514250006461,3.405786080649405
has_abnormal_labs,0.00979393250405042,2.751577627314145
lab_abnormal_count,0.009559392614898283,2.685684309033989
long_queue,0.008950989727491292,2.514755239154238
floor_occupancy_pct,0.005834931314417349,1.6393074441778737
pharmacist_exp_x_queue,0.005347081443798088,1.502247403287362
