feature,mean_abs_shap,shap_importance_pct
premed_required,0.06493208557367325,16.128173828125
severity,0.0437358133494854,10.86333179473877
pharmacist_credential,0.03419160097837448,8.49268913269043
pharmacists_on_duty,0.034188028424978256,8.491802215576172
shift_Night,0.032480306923389435,8.06762981414795
stat_order,0.03213080018758774,7.980817794799805
patient_readiness_score,0.030139343813061714,7.48616886138916
queue_length_at_order_log,0.02353864349424839,5.846652030944824
lab_abnormal_count,0.01993868499994278,4.952475547790527
floor_occupancy_pct,0.011761974543333054,2.9215011596679688
long_queue,0.010610980913043022,2.6356112957000732
floor_3,0.008214388974010944,2.0403330326080322
complex_case,0.00814721081405878,2.0236470699310303
nurse_credential,0.007305411621928215,1.8145564794540405
nurse_employment_years,0.005841949954628944,1.451054334640503
