feature,mean_abs_shap,shap_importance_pct
premed_required,0.0805955013299254,15.708131483475738
severity,0.05722443346267837,11.15309055798875
pharmacists_on_duty,0.04009724146943732,7.814986329674094
queue_length_at_order,0.038743855829335996,7.551210321934739
pharmacist_credential,0.037064872955900566,7.2239751375977805
stat_order,0.032685859774055956,6.370501758895092
patient_readiness_score,0.03004532797852562,5.855859875091983
shift_Night,0.029469640294143153,5.743657857727773
has_abnormal_labs,0.027291050667410045,5.31904889394491
floor_occupancy_pct,0.023964855363367617,4.670770611491718
shift_Evening,0.017195841971766122,3.3514841672841413
shift_Day,0.013188804343101258,2.570509139005093
severity_x_occupancy,0.01195136951750772,2.3293320432378652
complex_case,0.01109297904533125,2.162031013048675
nurse_credential,0.007745063177927636,1.5095193743964064
