feature,mean_abs_shap,shap_importance_pct
premed_required,0.0805974967170263,15.543485852763798
severity,0.05722379953078342,11.035793351882417
pharmacists_on_duty,0.039934081164641096,7.701415687946465
queue_length_at_order,0.03874321225463729,7.47175279754518
pharmacist_credential,0.037064720119774325,7.148050203607094
stat_order,0.03268624486256105,6.3036472011650355
patient_readiness_score,0.030044525470855742,5.794183140065122
has_abnormal_labs,0.02729180596073234,5.263312349965369
shift_Night,0.024725794025460567,4.768448714759015
floor_occupancy_pct,0.02403514726921165,4.635255271757894
shift_Evening,0.022590296619802688,4.3566111879683715
shift_Day,0.01818697079834185,3.5074156744738767
severity_x_occupancy,0.011951665361380584,2.3049170139094657
complex_case,0.01109438868618687,2.13958845637918
nurse_credential,0.007745575523755238,1.493759092763112
